no;spelling;meaning;level;category
210;evening;저녁;Lv4;음식
211;every;모든/모두의;Lv3;핵심표현_문법
212;example;예/보기;Lv4;기타
213;excellent;뛰어난;Lv4;기타
214;excite;흥분시키다;Lv4;일반동사
215;excuse;용서하다;Lv4;일반동사
216;exercise;연습;Lv4;기타
217;eye;눈;Lv1;신체
218;face;얼굴;Lv1;신체
219;fact;사실;Lv1;기타
220;fair;공정한;Lv1;일반형용사
221;fall;가을/떨어지다;Lv1;자연_날씨
222;family;가족;Lv4;가족_사람
223;far;멀리떨어진;Lv1;일반형용사
224;farm;농장;Lv1;교통_장소
225;fast;빠른;Lv1;기타
226;fat;살찐;Lv1;일반형용사
227;famous;유명한;Lv4;일반형용사
228;father;아버지;Lv4;가족_사람
229;feel;느끼다;Lv1;일반동사
230;few;다소양이적은;Lv1;일반형용사
231;field;들판/경기장;Lv3;기타
232;fight;싸움;Lv3;기타
233;fill;채우다;Lv1;일반동사
234;film;필름;Lv1;기타
235;find;찾다;Lv1;일반동사
236;fine;좋은/맑은;Lv1;일반형용사
237;finger;손가락;Lv4;신체
238;finish;끝내다;Lv4;일반동사
239;fire;불;Lv1;기타
240;fish;고기/낚시하다;Lv1;동물
241;fix;고정시키다;Lv1;일반동사
242;flag;깃발;Lv2;기타
243;floor;마루;Lv3;기타
244;flower;꽃;Lv4;자연_날씨
245;fly;날다;Lv1;일반동사
246;follow;뒤를따르다;Lv4;일반동사
247;food;음식;Lv2;음식
248;fool;바보;Lv2;기타
249;foot;발;Lv2;신체
250;for;~을 위하여/~동안;Lv1;핵심표현_문법
251;forget;잊다;Lv4;일반동사
252;fork;포크;Lv2;사물_도구
253;free;자유로운;Lv2;일반형용사
254;fresh;신선한;Lv3;일반형용사
255;friend;친구;Lv4;가족_사람
256;from;~로부터;Lv2;핵심표현_문법
257;front;앞/정면;Lv3;방향_위치
258;fruit;과일;Lv3;음식
259;full;가득찬;Lv2;일반형용사
260;fun;즐거움;Lv1;기타
261;game;놀이;Lv2;기타
262;garden;정원;Lv4;교통_장소
263;gas;가스/휘발유;Lv1;기타
264;gate;문;Lv2;집_가구
265;gentle;온화한;Lv4;일반형용사
266;get;얻다;Lv1;일반동사
267;girl;소녀;Lv2;가족_사람
268;give;주다;Lv2;일반동사
269;glad;기쁜;Lv2;감정_상태
270;glass;유리/컵;Lv3;사물_도구
271;glove;장갑;Lv3;옷_소지품
272;go;가다;Lv1;일반동사
273;god(GOD);신/하나님;Lv1;기타
274;gold;금;Lv2;색깔
275;good;좋은;Lv2;일반형용사
276;grandmother;할머니;Lv4;가족_사람
277;grape;포도;Lv3;음식
278;grass;풀/잔디;Lv3;자연_날씨
279;gray;회색;Lv2;색깔
280;great;큰;Lv3;일반형용사
281;green;녹색;Lv3;색깔
282;ground;땅/기초;Lv4;기타
283;group;단체;Lv3;가족_사람
284;grow;성장하다;Lv2;일반동사
285;guitar;기타(악기);Lv4;취미_예술
286;hair;머리카락;Lv2;신체
287;half;절반;Lv2;숫자_수량
288;hall;회관/넓은방;Lv2;교통_장소
289;hamburger;햄버거;Lv4;음식
290;hand;손;Lv2;신체
291;handle;손잡이;Lv4;사물_도구
292;happen;발생하다;Lv4;일반동사
293;happy;행복한;Lv3;감정_상태
294;hard;단단한/열심히;Lv2;기타
295;hat;모자;Lv1;옷_소지품
296;hate;미워하다;Lv2;일반동사
297;have;가지고있다;Lv2;일반동사
298;he;그/남자;Lv1;대명사
299;head;머리;Lv2;신체
300;hear;듣다;Lv2;일반동사
301;heart;마음/상징;Lv3;신체
302;heavy;무거운;Lv3;일반형용사
303;hello;여보세요;Lv3;감탄사_인사
304;help;돕다;Lv2;일반동사
305;hen;암닭;Lv1;동물
306;here;여기에서;Lv2;기타
307;hi;안녕하세요;Lv1;감탄사_인사
308;hide;숨기다;Lv2;감탄사_인사
309;high;높은;Lv2;감탄사_인사
310;hiking;하이킹/도보여행;Lv4;감탄사_인사
311;hill;언덕;Lv2;감탄사_인사
312;hit;때리다;Lv1;감탄사_인사
313;hold;잡다;Lv2;일반동사
314;hole;구멍;Lv2;기타
315;holiday;휴일;Lv4;시간
316;home;집;Lv2;집_가구
317;hope;희망;Lv2;기타
318;hose;호스;Lv2;기타
319;horse;말;Lv3;동물
320;hospital;병원;Lv4;교통_장소
321;hot;뜨거운;Lv1;일반형용사
322;hotel;호텔;Lv3;교통_장소
323;hour;시간;Lv2;시간
324;house;집;Lv3;집_가구
325;how;어떻게;Lv1;기타
326;hundred;백(100);Lv4;숫자_수량
327;hungry;배고픈;Lv4;감정_상태
328;hurry;서두르다;Lv3;일반동사
329;hurt;다치게하다;Lv2;일반동사
330;I;나;Lv1;대명사
331;ice;얼음;Lv1;자연_날씨
332;idea;생각;Lv2;기타
333;if;만약;Lv1;기타
334;ill;병든;Lv1;일반형용사
335;in;~속;Lv1;핵심표현_문법
336;ink;잉크;Lv1;학교_물건
337;interest;흥미;Lv4;기타
338;into;~속으로;Lv2;핵심표현_문법
339;introduce;소개하다;Lv4;일반동사
340;island;섬;Lv4;교통_장소
341;it;그것;Lv1;대명사
342;job;직업;Lv1;기타
343;join;가입하다;Lv2;일반동사
344;juice;주스;Lv3;음식
345;jump;뛰어오르다;Lv2;일반동사
346;jungle;밀림지대;Lv4;교통_장소
347;just;오직/겨우;Lv2;기타
348;keep;지키다/유지하다;Lv2;일반동사
349;key;열쇠;Lv1;사물_도구
350;kick;차다;Lv2;일반동사
351;kid;아이;Lv1;가족_사람
352;kill;죽이다;Lv2;일반동사
353;kind;친절한/종류;Lv2;기타
354;king;왕;Lv2;가족_사람
355;kitchen;부엌;Lv4;집_가구
356;knee;무릎;Lv2;신체
357;knife;칼;Lv3;사물_도구
358;knock;두드리다;Lv3;일반동사
359;know;알다;Lv2;일반동사
360;lady;숙녀;Lv2;가족_사람
361;lake;호수;Lv2;교통_장소
362;lamp;등불;Lv2;사물_도구
363;land;땅;Lv2;자연_날씨
364;large;큰/넓은;Lv3;일반형용사
365;last;마지막/최근;Lv2;기타
366;late;늦은;Lv2;일반형용사
367;laugh;웃다;Lv3;일반동사
368;lead;인도하다;Lv2;일반동사
369;leaf;잎;Lv2;자연_날씨
370;learn;배우다;Lv3;일반동사
371;leave;떠나다;Lv3;일반동사
372;left;왼쪽;Lv2;방향_위치
373;leg;다리;Lv1;기타
374;lesson;학과;Lv4;학교_물건
375;let;허락하다;Lv1;일반동사
376;letter;편지;Lv4;사물_도구
377;library;도서관;Lv4;학교_물건
378;lie;눕다/거짓말하다;Lv1;일반동사
379;light;빛;Lv3;기타
380;like;좋아하다;Lv2;일반동사
381;line;선/줄;Lv2;사물_도구
382;lion;사자;Lv2;동물
383;lip;입술;Lv1;신체
384;list;목록;Lv2;사물_도구
385;listen;듣다;Lv4;일반동사
386;little;작은;Lv4;일반형용사
387;live;살다/생생한;Lv2;일반형용사
388;long;긴;Lv2;기타
389;look;바라보다;Lv2;일반동사
390;lose;잃다;Lv2;일반동사
391;lot;많음;Lv1;숫자_수량
392;loud;소리가 큰;Lv2;일반형용사
393;love;사랑하다;Lv2;일반동사
394;low;낮은;Lv1;일반형용사
395;luck;행운;Lv2;일반형용사
396;lunch;점심식사;Lv3;음식
397;ma'am;아주머니;Lv3;가족_사람
398;mad;미친;Lv1;감정_상태
399;mail;우편;Lv2;사물_도구
400;make;만들다;Lv2;일반동사
401;man;사람/남자;Lv1;기타
402;many;많은;Lv2;일반형용사
403;map;지도;Lv1;사물_도구
404;march;행진/3월;Lv3;기타
405;market;상점;Lv4;교통_장소
406;marry;결혼하다;Lv3;일반동사
407;matter;문제;Lv4;기타
408;may;~해도좋다/5월;Lv1;핵심표현_문법
409;meat;고기;Lv2;음식
410;medal;메달;Lv3;사물_도구
411;meet;만나다;Lv2;일반동사
412;melon;멜론;Lv3;음식
413;meter;미터;Lv3;사물_도구
414;middle;한가운데;Lv4;방향_위치
415;milk;우유;Lv2;음식
416;million;100만;Lv4;숫자_수량
417;minute;분/순간;Lv4;시간
418;mirror;거울;Lv4;사물_도구
419;Miss;~양/호칭;Lv2;핵심표현_문법
420;model;모형;Lv3;사물_도구
421;mom(my);엄마;Lv1;가족_사람
422;money;돈;Lv3;기타
423;monkey;원숭이;Lv4;동물
424;month;달/개월;Lv3;시간
425;moon;달;Lv2;자연_날씨
426;morning;아침;Lv4;음식
427;mother;어머니;Lv4;가족_사람
428;mountain;산;Lv4;자연_날씨
429;mouth;입;Lv3;신체
430;move;움직이다;Lv2;일반동사
431;movie;영화;Lv3;취미_예술
432;Mr.;~씨;Lv1;핵심표현_문법
433;Mrs.;~여사;Lv2;핵심표현_문법
434;much;많은;Lv2;일반형용사
435;music;음악;Lv3;취미_예술
436;must;~해야한다;Lv2;핵심표현_문법
437;name;이름;Lv2;기타
438;narrow;좁은;Lv4;일반형용사
439;near;가까운;Lv2;일반형용사
440;neck;목;Lv2;신체
441;need;필요하다;Lv2;일반동사
442;never;결코~않다;Lv3;일반동사
443;new;새로운;Lv1;일반형용사
444;news;뉴스;Lv2;기타
445;next;다음의;Lv2;기타
446;nice;좋은;Lv2;일반형용사
447;night;밤;Lv3;시간
448;no;아니다/없다;Lv1;일반동사
449;noise;소음;Lv3;기타
450;north;북쪽;Lv3;방향_위치
451;nose;코;Lv2;신체
452;not;아니다;Lv1;일반동사
453;note;공책;Lv2;학교_물건
454;now;지금;Lv1;기타
455;number;숫자;Lv4;숫자_수량
456;nurse;간호원;Lv3;가족_사람
457;o'clock;~시 정각;Lv4;핵심표현_문법
458;of;~의;Lv1;핵심표현_문법
459;off;떨어진/끄다;Lv1;일반동사
460;office;사무실;Lv4;교통_장소
461;often;흔히/종종;Lv3;기타
462;oh;오;Lv1;감탄사_인사
463;oil;기름;Lv1;기타
464;okay(ok);좋아;Lv2;감탄사_인사
465;old;늙은;Lv1;일반형용사
466;on;~위에;Lv1;핵심표현_문법
467;once;한번;Lv2;시간
468;only;오직;Lv2;기타
469;open;열린;Lv2;기타
470;or;또는;Lv1;기타
471;orange;오렌지;Lv4;기타
472;other;그밖의;Lv3;핵심표현_문법
473;out;밖에;Lv1;방향_위치
474;over;~위쪽에;Lv2;핵심표현_문법
475;page;쪽;Lv2;기타
476;paint;칠하다;Lv3;일반동사
477;pair;짝;Lv2;숫자_수량
478;pants;바지;Lv3;옷_소지품
479;paper;종이;Lv3;기타
480;pardon;용서하다;Lv4;일반동사
481;parent;부모;Lv4;가족_사람
482;park;공원;Lv2;교통_장소
483;party;파티;Lv3;취미_예술
484;pass;통과하다;Lv2;일반동사
485;pay;지불하다;Lv1;일반동사
486;peace;평화;Lv3;기타
487;pear;배;Lv2;교통_장소
488;pen;펜/만년필;Lv1;학교_물건
489;pencil;연필;Lv4;학교_물건
490;people;사람;Lv4;가족_사람
491;piano;피아노;Lv3;취미_예술
492;pick;따다/골라내다;Lv2;일반동사
493;picnic;소풍;Lv4;취미_예술
494;picture;그림;Lv4;취미_예술
495;piece;조각;Lv3;사물_도구
496;pig;돼지;Lv1;동물
497;pilot;조종사;Lv3;가족_사람
498;pin;핀;Lv1;사물_도구
499;pine;소나무;Lv2;자연_날씨
500;pink;분홍;Lv2;색깔
501;pipe;파이프/관;Lv2;사물_도구
502;place;장소;Lv3;교통_장소
503;plan;계획;Lv2;사물_도구
504;plane;비행기;Lv3;교통_장소
505;plant;식물;Lv3;기타
506;play;놀다;Lv2;일반동사
507;please;기쁘게하다/제발;Lv4;기타
508;pocket;주머니;Lv4;기타
509;point;점수/요점;Lv3;기타
510;police;경찰;Lv4;가족_사람
511;pool;웅덩이;Lv2;교통_장소
512;poor;가난한;Lv2;일반형용사
513;post;기둥/우편;Lv2;사물_도구
514;poster;포스터;Lv4;사물_도구
515;potato;감자;Lv4;음식
516;practice;연습/습관;Lv4;기타
517;present;현재/선물;Lv4;기타
518;pretty;예쁜;Lv4;일반형용사
519;print;인쇄하다;Lv3;일반동사
520;problem;문제;Lv4;기타
521;pull;끌다;Lv2;일반동사
522;push;밀다;Lv2;일반동사
523;put;놓다;Lv1;일반동사
524;queen;여왕;Lv3;가족_사람
525;question;질문;Lv4;기타
526;quick;빠른;Lv3;기타
527;quiet;조용한;Lv3;일반형용사
528;radio;라디오;Lv3;취미_예술
529;rain;비;Lv2;자연_날씨
530;rainbow;무지개;Lv4;자연_날씨
531;read;읽다;Lv2;일반동사
532;ready;준비가 된;Lv3;기타
533;real;실제하는;Lv2;기타
534;record;기록하다;Lv4;일반동사
535;red;빨강;Lv1;색깔
536;remember;기억하다;Lv4;일반동사
537;repeat;반복하다;Lv4;일반동사
538;rest;휴식;Lv2;기타
539;restaurant;식당;Lv4;교통_장소
540;return;되돌아가다;Lv4;일반동사
541;ribbon;리본;Lv4;옷_소지품
542;rice;쌀;Lv2;음식
543;rich;부유한;Lv2;일반형용사
544;ride;타다;Lv2;일반동사
545;right;오른쪽/옳은;Lv3;일반형용사
546;ring;반지/고리;Lv2;사물_도구
547;river;강;Lv3;자연_날씨
548;road;길;Lv2;교통_장소
549;robot;로보트;Lv3;사물_도구
550;rock;바위;Lv2;기타
551;rocket;로켓;Lv4;사물_도구
552;roll;구르다;Lv2;일반동사
553;roof;지붕;Lv2;집_가구
554;room;방;Lv2;교통_장소
555;rose;장미;Lv2;기타
556;round;둥근;Lv3;기타
557;ruler;자;Lv3;학교_물건
558;run;달리다;Lv1;일반동사
559;sad;슬픈;Lv1;감정_상태
560;safe;안전한;Lv2;일반형용사
561;salt;소금;Lv2;음식
562;salad;샐러드;Lv3;음식
563;same;같은;Lv2;일반형용사
564;sand;모래;Lv2;자연_날씨
565;say;말하다;Lv1;일반동사
566;school;학교;Lv4;학교_물건
567;score;점수;Lv3;기타
568;sea;바다;Lv1;자연_날씨
569;season;계절;Lv4;자연_날씨
570;seat;의자/좌석;Lv2;기타
571;see;보다;Lv1;일반동사
572;sell;팔다;Lv2;일반동사
573;send;보내다;Lv2;일반동사
574;service;봉사하다;Lv4;일반동사
575;set;놓다;Lv1;일반동사
576;shall;~일것이다;Lv3;핵심표현_문법
577;shape;모양;Lv3;기타
578;she;그녀;Lv1;대명사
579;sheep;양;Lv3;동물
580;sheet;시트/한장;Lv3;사물_도구
581;ship;배;Lv2;교통_장소
582;shirt;셔츠;Lv3;옷_소지품
583;shoe;구두;Lv2;옷_소지품
584;shoot;쏘다;Lv3;일반동사
585;shop;가게;Lv2;교통_장소
586;short;짧은;Lv3;일반형용사
587;shoulder;어깨;Lv4;신체
588;shout;외치다;Lv3;일반동사
589;show;보이다;Lv2;일반동사
590;shower;소나기/샤워;Lv4;기타
591;shut;닫다;Lv2;일반동사
592;sick;아픈;Lv2;감정_상태
593;side;옆/측면;Lv2;방향_위치
594;sign;기호/신호;Lv2;사물_도구
595;silver;은;Lv4;색깔
596;sing;노래하다;Lv2;취미_예술
597;sir;~님/~씨;Lv1;핵심표현_문법
598;sister;자매;Lv4;가족_사람
599;sit;앉다;Lv1;일반동사
600;size;크기;Lv2;숫자_수량
601;skate;스케이트;Lv3;취미_예술
602;skirt;치마;Lv3;옷_소지품
603;sky;하늘;Lv1;자연_날씨
604;sleep;잠자다;Lv3;일반동사
605;slide;미끄러지다;Lv3;일반동사
606;slow;느린;Lv2;기타
607;small;작은;Lv3;일반형용사
608;smell;냄새나다;Lv3;일반동사
609;smile;웃다;Lv3;일반동사
610;smoke;연기;Lv3;기타
611;snow;눈;Lv2;신체
612;so;그와같은;Lv1;일반형용사
613;soap;비누;Lv2;기타
614;soccer;축구;Lv4;취미_예술
615;sock;양말;Lv2;옷_소지품
616;soft;부드러운;Lv2;일반형용사
617;some;약간의;Lv2;핵심표현_문법
618;son;아들;Lv1;기타
619;song;노래;Lv2;취미_예술
620;soon;곧;Lv2;시간
621;sorry;슬픈/유감의;Lv3;감정_상태
622;sound;소리;Lv3;기타
623;soup;스프;Lv2;음식
624;south;남쪽;Lv3;방향_위치
625;space;공간/우주;Lv3;기타
626;speak;이야기하다;Lv3;취미_예술
627;speed;속력;Lv3;기타
628;spell;철자;Lv3;기타
629;spend;낭비하다;Lv3;일반동사
630;spoon;숟가락;Lv3;사물_도구
631;sport;운동경기;Lv3;취미_예술
632;spring;봄/용수철;Lv4;자연_날씨
633;square;정사각형;Lv4;기타
634;stairs;계단/사닥다리;Lv4;집_가구
635;stamp;우표;Lv3;사물_도구
636;stand;서다;Lv3;일반동사
637;star;별;Lv2;자연_날씨
638;start;출발하다;Lv3;일반동사
639;station;정거장;Lv4;교통_장소
640;stay;머물다;Lv2;일반동사
641;steam;증기;Lv3;기타
642;step;한걸음;Lv2;기타
643;stick;막대기;Lv3;사물_도구
644;stone;돌멩이;Lv3;사물_도구
645;stop;멈추다;Lv2;일반동사
646;store;가게;Lv3;교통_장소
647;storm;폭풍우;Lv3;자연_날씨
648;story;이야기;Lv3;취미_예술
649;stove;스토브/난로;Lv3;기타
650;straight;곧은;Lv4;일반형용사
651;strange;이상한/낯선;Lv4;기타
652;strawberry;딸기;Lv4;음식
653;street;거리;Lv4;교통_장소
654;strike;치다;Lv4;일반동사
655;strong;강한;Lv4;일반형용사
656;student;학생;Lv4;가족_사람
657;study;공부하다;Lv3;일반동사
658;stupid;어리석은;Lv4;일반형용사
659;subway;지하철;Lv4;교통_장소
660;sugar;설탕;Lv3;음식
661;summer;여름;Lv4;자연_날씨
662;sun;태양;Lv1;기타
663;supermarket;슈퍼마켓;Lv4;교통_장소
664;supper;저녁식사;Lv4;음식
665;sure;확실한;Lv2;일반형용사
666;surprise;놀라운;Lv4;감정_상태
667;sweater;스웨터;Lv4;옷_소지품
668;sweet;달콤한;Lv3;일반형용사
669;swim;수영;Lv2;취미_예술
670;swing;흔들리다;Lv3;일반동사
671;switch;스위치;Lv4;사물_도구
672;table;식탁/탁자;Lv3;사물_도구
673;take;잡다/가져가다;Lv2;일반동사
674;talk;말하다;Lv2;일반동사
675;tall;키가 큰;Lv2;일반형용사
676;tape;테이프;Lv2;사물_도구
677;taste;맛보다;Lv3;일반동사
678;taxi;택시;Lv2;교통_장소
679;tea;차;Lv1;음식
680;teach;가르치다;Lv3;일반동사
681;team;팀;Lv2;기타
682;telephone;전화기;Lv4;취미_예술
683;television;텔레비전;Lv4;취미_예술
684;tell;이야기하다;Lv2;취미_예술
685;temple;절;Lv4;교통_장소
686;tennis;테니스;Lv4;취미_예술
687;test;시험;Lv2;학교_물건
688;than;~보다(도);Lv2;핵심표현_문법
689;thank;감사하다;Lv3;일반동사
690;that;그것;Lv2;대명사
691;the;그(정관사);Lv1;핵심표현_문법
692;then;그때;Lv2;기타
693;there;그곳에;Lv3;대명사
694;they;그들;Lv2;대명사
695;thick;두꺼운;Lv3;일반형용사
696;thin;얇은;Lv2;일반형용사
697;thing;사물;Lv3;기타
698;think;생각하다;Lv3;일반동사
699;thirsty;목마른/갈망;Lv4;감정_상태
700;this;이것;Lv2;대명사
701;thousand;천(1000);Lv4;숫자_수량
702;through;통해서;Lv4;기타
703;throw;던지다;Lv3;일반동사
704;ticket;표;Lv4;기타
705;tie;매다;Lv1;일반동사
706;tiger;호랑이;Lv3;동물
707;till;~까지;Lv2;핵심표현_문법
708;time;시간;Lv2;시간
709;tired;피곤한;Lv3;감정_상태
710;to;~으로/~까지;Lv1;핵심표현_문법
711;today;오늘/현재;Lv3;시간
712;together;함께;Lv4;기타
713;tomato;토마토;Lv4;음식
714;tomorrow;내일;Lv4;시간
715;tonight;오늘밤;Lv4;시간
716;too;또한/많은;Lv1;일반형용사
717;tooth;이;Lv3;신체
718;top;꼭대기;Lv1;기타
719;touch;만지다;Lv3;일반동사
720;town;도시;Lv2;교통_장소
721;toy;장난감;Lv1;사물_도구
722;train;기차;Lv3;교통_장소
723;travel;여행하다;Lv4;취미_예술
724;tree;나무;Lv2;자연_날씨
725;trip;여행;Lv2;취미_예술
726;truck;화물차;Lv3;교통_장소
