level;no;spelling;meaning;length
Lv1;535;red;빨강;3
Lv1;558;run;달리다;3
Lv1;559;sad;슬픈;3
Lv1;565;say;말하다;3
Lv1;568;sea;바다;3
Lv1;571;see;보다;3
Lv1;575;set;놓다;3
Lv1;578;she;그녀;3
Lv1;597;sir;~님/~씨;3
Lv1;599;sit;앉다;3
Lv1;603;sky;하늘;3
Lv1;618;son;아들;3
Lv1;662;sun;태양;3
Lv1;679;tea;차;3
Lv1;691;the;그(정관사);3
Lv1;705;tie;매다;3
Lv1;716;too;또한/많은;3
Lv1;718;top;꼭대기;3
Lv1;721;toy;장난감;3
Lv1;728;try;노력/시도하다;3
Lv1;738;use;사용하다;3
Lv1;752;war;전쟁;3
Lv1;758;way;길;3
Lv1;767;wet;젖은;3
Lv1;773;who;누구(의문사);3
Lv1;774;why;왜(의문사);3
Lv1;777;win;이기다;3
Lv1;794;yes;네(대답);3
Lv1;796;yet;아직;3
Lv1;797;you;당신;3
Lv1;800;zoo;동물원;3
Lv1;32;aunt;이모/고모;4
Lv1;34;away;떨어져;4
Lv1;35;baby;아기;4
Lv1;36;back;뒤에;4
Lv1;39;ball;공;4
Lv1;42;band;끈/악단;4
Lv1;43;bank;은행;4
Lv1;44;base;기초;4
Lv1;46;bath;목욕;4
Lv1;49;bear;곰;4
Lv1;57;bell;종;4
Lv1;64;bird;새;4
Lv1;67;blow;불다;4
Lv1;68;blue;푸른;4
Lv1;70;boat;배;4
Lv1;71;body;몸;4
Lv1;72;book;책;4
Lv1;74;bowl;사발;4
Lv1;87;burn;불타다;4
Lv1;89;busy;바쁜;4
Lv1;97;cake;케이크;4
Lv1;98;call;부르다;4
Lv1;100;camp;야영지;4
Lv1;108;card;카드;4
Lv1;109;care;걱정/돌보다;4
Lv1;111;case;경우;4
Lv1;128;city;도시;4
Lv1;137;club;클럽;4
Lv1;138;coat;코트;4
Lv1;140;coin;동전;4
Lv1;141;cold;추운;4
Lv1;143;come;오다;4
Lv1;145;cook;요리하다;4
Lv1;146;cool;시원한;4
Lv1;147;copy;사본/베끼다;4
Lv1;165;dark;어두운;4
Lv1;166;date;날짜;4
Lv1;169;dead;죽은;4
Lv1;170;deep;깊은;4
Lv1;171;dear;존경하는;4
Lv1;172;desk;책상;4
Lv1;173;dial;다이얼;4
Lv1;179;dish;큰접시;4
Lv1;183;doll;인형;4
Lv1;186;door;문;4
Lv1;187;down;아래에;4
Lv1;188;draw;그리다;4
Lv1;193;drop;떨어지다/방울;4
Lv1;194;drum;북;4
Lv1;196;duck;오리;4
Lv1;200;east;동쪽;4
Lv1;201;easy;쉬운;4
Lv1;218;face;얼굴;4
Lv1;219;fact;사실;4
Lv1;220;fair;공정한;4
Lv1;221;fall;가을/떨어지다;4
Lv1;224;farm;농장;4
Lv1;225;fast;빠른;4
Lv1;229;feel;느끼다;4
Lv1;233;fill;채우다;4
Lv1;234;film;필름;4
Lv1;235;find;찾다;4
Lv1;236;fine;좋은/맑은;4
Lv1;239;fire;불;4
Lv1;240;fish;고기/낚시하다;4
Lv2;242;flag;깃발;4
Lv2;247;food;음식;4
Lv2;248;fool;바보;4
Lv2;249;foot;발;4
Lv2;252;fork;포크;4
Lv2;253;free;자유로운;4
Lv2;256;from;~로부터;4
Lv2;259;full;가득찬;4
Lv2;261;game;놀이;4
Lv2;264;gate;문;4
Lv2;267;girl;소녀;4
Lv2;268;give;주다;4
Lv2;269;glad;기쁜;4
Lv2;274;gold;금;4
Lv2;275;good;좋은;4
Lv2;279;gray;회색;4
Lv2;284;grow;성장하다;4
Lv2;286;hair;머리카락;4
Lv2;287;half;절반;4
Lv2;288;hall;회관/넓은방;4
Lv2;290;hand;손;4
Lv2;294;hard;단단한/열심히;4
Lv2;296;hate;미워하다;4
Lv2;297;have;가지고있다;4
Lv2;299;head;머리;4
Lv2;300;hear;듣다;4
Lv2;304;help;돕다;4
Lv2;306;here;여기에서;4
Lv2;308;hide;숨기다;4
Lv2;309;high;높은;4
Lv2;311;hill;언덕;4
Lv2;313;hold;잡다;4
Lv2;314;hole;구멍;4
Lv2;316;home;집;4
Lv2;317;hope;희망;4
Lv2;318;hose;호스;4
Lv2;323;hour;시간;4
Lv2;329;hurt;다치게하다;4
Lv2;332;idea;생각;4
Lv2;338;into;~속으로;4
Lv2;343;join;가입하다;4
Lv2;345;jump;뛰어오르다;4
Lv2;347;just;오직/겨우;4
Lv2;348;keep;지키다/유지하다;4
Lv2;350;kick;차다;4
Lv2;352;kill;죽이다;4
Lv2;353;kind;친절한/종류;4
Lv2;354;king;왕;4
Lv2;356;knee;무릎;4
Lv2;359;know;알다;4
Lv2;360;lady;숙녀;4
Lv2;361;lake;호수;4
Lv2;362;lamp;등불;4
Lv2;363;land;땅;4
Lv2;365;last;마지막/최근;4
Lv2;366;late;늦은;4
Lv2;368;lead;인도하다;4
Lv2;369;leaf;잎;4
Lv2;372;left;왼쪽;4
Lv2;380;like;좋아하다;4
Lv2;381;line;선/줄;4
Lv2;382;lion;사자;4
Lv2;384;list;목록;4
Lv2;387;live;살다/생생한;4
Lv2;388;long;긴;4
Lv2;389;look;바라보다;4
Lv2;390;lose;잃다;4
Lv2;392;loud;소리가 큰;4
Lv2;393;love;사랑하다;4
Lv2;395;luck;행운;4
Lv2;399;mail;우편;4
Lv2;400;make;만들다;4
Lv2;402;many;많은;4
Lv2;409;meat;고기;4
Lv2;411;meet;만나다;4
Lv2;415;milk;우유;4
Lv2;419;Miss;~양/호칭;4
Lv2;425;moon;달;4
Lv2;430;move;움직이다;4
Lv2;433;Mrs.;~여사;4
Lv2;434;much;많은;4
Lv2;436;must;~해야한다;4
Lv2;437;name;이름;4
Lv2;439;near;가까운;4
Lv2;440;neck;목;4
Lv2;441;need;필요하다;4
Lv2;444;news;뉴스;4
Lv2;445;next;다음의;4
Lv2;446;nice;좋은;4
Lv2;451;nose;코;4
Lv2;453;note;공책;4
Lv2;464;okay(ok);좋아;4
Lv2;467;once;한번;4
Lv2;468;only;오직;4
Lv2;469;open;열린;4
Lv2;474;over;~위쪽에;4
Lv2;475;page;쪽;4
Lv2;477;pair;짝;4
Lv2;482;park;공원;4
Lv2;484;pass;통과하다;4
Lv2;487;pear;배;4
Lv2;492;pick;따다/골라내다;4
Lv2;499;pine;소나무;4
Lv2;500;pink;분홍;4
Lv2;501;pipe;파이프/관;4
Lv2;503;plan;계획;4
Lv2;506;play;놀다;4
Lv2;511;pool;웅덩이;4
Lv2;512;poor;가난한;4
Lv2;513;post;기둥/우편;4
Lv2;521;pull;끌다;4
Lv2;522;push;밀다;4
Lv2;529;rain;비;4
Lv2;531;read;읽다;4
Lv2;533;real;실제하는;4
Lv2;538;rest;휴식;4
Lv2;542;rice;쌀;4
Lv2;543;rich;부유한;4
Lv2;544;ride;타다;4
Lv2;546;ring;반지/고리;4
Lv2;548;road;길;4
Lv2;550;rock;바위;4
Lv2;552;roll;구르다;4
Lv2;553;roof;지붕;4
Lv2;554;room;방;4
Lv2;555;rose;장미;4
Lv2;560;safe;안전한;4
Lv2;561;salt;소금;4
Lv2;563;same;같은;4
Lv2;564;sand;모래;4
Lv2;570;seat;의자/좌석;4
Lv2;572;sell;팔다;4
Lv2;573;send;보내다;4
Lv2;581;ship;배;4
Lv2;583;shoe;구두;4
Lv2;585;shop;가게;4
Lv2;589;show;보이다;4
Lv2;591;shut;닫다;4
Lv2;592;sick;아픈;4
Lv2;593;side;옆/측면;4
Lv2;594;sign;기호/신호;4
Lv2;596;sing;노래하다;4
Lv2;600;size;크기;4
Lv2;606;slow;느린;4
Lv2;611;snow;눈;4
Lv2;613;soap;비누;4
Lv2;615;sock;양말;4
Lv2;616;soft;부드러운;4
Lv2;617;some;약간의;4
Lv2;619;song;노래;4
Lv2;620;soon;곧;4
Lv2;623;soup;스프;4
Lv2;637;star;별;4
Lv2;640;stay;머물다;4
Lv2;642;step;한걸음;4
Lv2;645;stop;멈추다;4
Lv2;665;sure;확실한;4
Lv2;669;swim;수영;4
Lv2;673;take;잡다/가져가다;4
Lv2;674;talk;말하다;4
Lv2;675;tall;키가 큰;4
Lv2;676;tape;테이프;4
Lv2;678;taxi;택시;4
Lv2;681;team;팀;4
Lv2;684;tell;이야기하다;4
Lv2;687;test;시험;4
Lv2;688;than;~보다(도);4
Lv2;690;that;그것;4
Lv2;692;then;그때;4
Lv2;694;they;그들;4
Lv2;696;thin;얇은;4
Lv2;700;this;이것;4
Lv2;707;till;~까지;4
Lv2;708;time;시간;4
Lv2;720;town;도시;4
Lv2;724;tree;나무;4
Lv2;725;trip;여행;4
Lv2;727;true;참된/진짜의;4
Lv2;730;turn;돌다;4
Lv2;742;very;대단히/몹시;4
Lv2;747;wait;기다리다;4
Lv2;748;wake;잠이깨다;4
Lv2;749;walk;걷다;4
Lv2;750;wall;벽;4
Lv2;751;want;원하다;4
Lv2;753;warm;따뜻한;4
Lv2;754;wash;씻다;4
Lv2;760;weak;약한;4
Lv2;761;wear;옷을입다;4
Lv2;763;week;한 주;4
Lv2;765;well;상당히;4
Lv2;766;west;서쪽;4
Lv2;768;what;무엇(의문사);4
Lv2;769;when;언제;4
Lv2;775;wide;넓은;4
Lv2;776;will;~할것이다;4
Lv2;778;wind;바람;4
Lv2;780;wing;날개;4
Lv2;782;with;~와함께;4
Lv2;785;wood;나무;4
Lv3;786;word;낱말/말;4
Lv3;787;work;일;4
Lv3;791;yeah;예(찬성/긍정);4
Lv3;792;year;해/1년;4
Lv3;799;zero;영(0);4
Lv3;2;about;~에관하여;5
Lv3;7;after;~후에;5
Lv3;9;again;다시;5
Lv3;14;album;사진첩;5
Lv3;16;along;~을 따라서;5
Lv3;18;among;~사이에서;5
Lv3;20;angry;성난;5
Lv3;25;apple;사과;5
Lv3;48;beach;해변;5
Lv3;55;begin;시작하다;5
Lv3;58;below;~아래;5
Lv3;59;bench;긴의자;5
Lv3;66;black;검정색;5
Lv3;69;board;판자;5
Lv3;77;bread;빵;5
Lv3;78;break;깨뜨리다;5
Lv3;82;bring;가져오다;5
Lv3;84;brown;갈색;5
Lv3;85;brush;솔;5
Lv3;86;build;건설하다;5
Lv3;103;candy;사탕;5
Lv3;110;carry;나르다;5
Lv3;114;catch;붙잡다;5
Lv3;117;chair;의자;5
Lv3;118;chalk;분필;5
Lv3;121;cheap;값싼;5
Lv3;124;child;어린이;5
Lv3;129;class;학급;5
Lv3;131;clean;깨끗한;5
Lv3;132;climb;오르다;5
Lv3;133;clock;시계;5
Lv3;134;close;닫다;5
Lv3;136;cloud;구름;5
Lv3;142;color;색깔;5
Lv3;149;count;세다;5
Lv3;153;cover;덮다;5
Lv3;156;cream;크림;5
Lv3;157;cross;가로지르다;5
Lv3;163;dance;춤추다;5
Lv3;174;diary;일기;5
Lv3;178;dirty;더러운;5
Lv3;189;dream;꿈;5
Lv3;190;dress;드레스;5
Lv3;191;drink;마시다;5
Lv3;192;drive;운전하다;5
Lv3;198;early;일찍;5
Lv3;199;earth;지구;5
Lv3;204;empty;텅빈;5
Lv3;207;enjoy;즐기다;5
Lv3;211;every;모든/모두의;5
Lv3;231;field;들판/경기장;5
Lv3;232;fight;싸움;5
Lv3;243;floor;마루;5
Lv3;254;fresh;신선한;5
Lv3;257;front;앞/정면;5
Lv3;258;fruit;과일;5
Lv3;270;glass;유리/컵;5
Lv3;271;glove;장갑;5
Lv3;277;grape;포도;5
Lv3;278;grass;풀/잔디;5
Lv3;280;great;큰;5
Lv3;281;green;녹색;5
Lv3;283;group;단체;5
Lv3;293;happy;행복한;5
Lv3;301;heart;마음/상징;5
Lv3;302;heavy;무거운;5
Lv3;303;hello;여보세요;5
Lv3;319;horse;말;5
Lv3;322;hotel;호텔;5
Lv3;324;house;집;5
Lv3;328;hurry;서두르다;5
Lv3;344;juice;주스;5
Lv3;357;knife;칼;5
Lv3;358;knock;두드리다;5
Lv3;364;large;큰/넓은;5
Lv3;367;laugh;웃다;5
Lv3;370;learn;배우다;5
Lv3;371;leave;떠나다;5
Lv3;379;light;빛;5
Lv3;396;lunch;점심식사;5
Lv3;397;ma'am;아주머니;5
Lv3;404;march;행진/3월;5
Lv3;406;marry;결혼하다;5
Lv3;410;medal;메달;5
Lv3;412;melon;멜론;5
Lv3;413;meter;미터;5
Lv3;420;model;모형;5
Lv3;422;money;돈;5
Lv3;424;month;달/개월;5
Lv3;429;mouth;입;5
Lv3;431;movie;영화;5
Lv3;435;music;음악;5
Lv3;442;never;결코~않다;5
Lv3;447;night;밤;5
Lv3;449;noise;소음;5
Lv3;450;north;북쪽;5
Lv3;456;nurse;간호원;5
Lv3;461;often;흔히/종종;5
Lv3;472;other;그밖의;5
Lv3;476;paint;칠하다;5
Lv3;478;pants;바지;5
Lv3;479;paper;종이;5
Lv3;483;party;파티;5
Lv3;486;peace;평화;5
Lv3;491;piano;피아노;5
Lv3;495;piece;조각;5
Lv3;497;pilot;조종사;5
Lv3;502;place;장소;5
Lv3;504;plane;비행기;5
Lv3;505;plant;식물;5
Lv3;509;point;점수/요점;5
Lv3;519;print;인쇄하다;5
Lv3;524;queen;여왕;5
Lv3;526;quick;빠른;5
Lv3;527;quiet;조용한;5
Lv3;528;radio;라디오;5
Lv3;532;ready;준비가 된;5
Lv3;545;right;오른쪽/옳은;5
Lv3;547;river;강;5
Lv3;549;robot;로보트;5
Lv3;556;round;둥근;5
Lv3;557;ruler;자;5
Lv3;562;salad;샐러드;5
Lv3;567;score;점수;5
Lv3;576;shall;~일것이다;5
Lv3;577;shape;모양;5
Lv3;579;sheep;양;5
Lv3;580;sheet;시트/한장;5
Lv3;582;shirt;셔츠;5
Lv3;584;shoot;쏘다;5
Lv3;586;short;짧은;5
Lv3;588;shout;외치다;5
Lv3;601;skate;스케이트;5
Lv3;602;skirt;치마;5
Lv3;604;sleep;잠자다;5
Lv3;605;slide;미끄러지다;5
Lv3;607;small;작은;5
Lv3;608;smell;냄새나다;5
Lv3;609;smile;웃다;5
Lv3;610;smoke;연기;5
Lv3;621;sorry;슬픈/유감의;5
Lv3;622;sound;소리;5
Lv3;624;south;남쪽;5
Lv3;625;space;공간/우주;5
Lv3;626;speak;이야기하다;5
Lv3;627;speed;속력;5
Lv3;628;spell;철자;5
Lv3;629;spend;낭비하다;5
Lv3;630;spoon;숟가락;5
Lv3;631;sport;운동경기;5
Lv3;635;stamp;우표;5
Lv3;636;stand;서다;5
Lv3;638;start;출발하다;5
Lv3;641;steam;증기;5
Lv3;643;stick;막대기;5
Lv3;644;stone;돌멩이;5
Lv3;646;store;가게;5
Lv3;647;storm;폭풍우;5
Lv3;648;story;이야기;5
Lv3;649;stove;스토브/난로;5
Lv3;657;study;공부하다;5
Lv3;660;sugar;설탕;5
Lv3;668;sweet;달콤한;5
Lv3;670;swing;흔들리다;5
Lv3;672;table;식탁/탁자;5
Lv3;677;taste;맛보다;5
Lv3;680;teach;가르치다;5
Lv3;689;thank;감사하다;5
Lv3;693;there;그곳에;5
Lv3;695;thick;두꺼운;5
Lv3;697;thing;사물;5
Lv3;698;think;생각하다;5
Lv3;703;throw;던지다;5
Lv3;706;tiger;호랑이;5
Lv3;709;tired;피곤한;5
Lv3;711;today;오늘/현재;5
Lv3;717;tooth;이;5
Lv3;719;touch;만지다;5
Lv3;722;train;기차;5
Lv3;726;truck;화물차;5
Lv3;729;tulip;튤립;5
Lv3;731;twice;두번;5
Lv3;733;uncle;삼촌;5
Lv3;734;under;~아래에서;5
Lv3;736;until;~까지;5
Lv3;739;usual;보통의;5
Lv3;743;video;비디오;5
Lv3;745;visit;방문하다;5
Lv3;755;waste;낭비하다;5
Lv3;756;watch;보다;5
Lv3;757;water;물;5
Lv3;770;where;어디(의문사);5
Lv3;771;which;어느쪽(의문사);5
Lv3;772;white;하얀색;5
Lv3;783;woman;여자;5
Lv4;788;world;세상;5
Lv4;789;write;쓰다;5
Lv4;790;wrong;나쁜;5
Lv4;798;young;젊은;5
Lv4;3;across;~을 가로질러;6
Lv4;6;afraid;두려워하여;6
Lv4;17;always;항상;6
Lv4;21;animal;동물;6
Lv4;22;answer;대답;6
Lv4;27;around;~주위에;6
Lv4;28;arrive;도착하다;6
Lv4;33;autumn;가을;6
Lv4;41;banana;바나나;6
Lv4;45;basket;바구니;6
Lv4;52;become;~이되다;6
Lv4;54;before;~전에;6
Lv4;56;behind;~뒤에;6
Lv4;60;beside;~곁에;6
Lv4;73;bottle;병;6
Lv4;80;bridge;다리;6
Lv4;81;bright;밝은;6
Lv4;91;butter;버터;6
Lv4;92;button;단추;6
Lv4;99;camera;사진기;6
Lv4;102;candle;양초;6
Lv4;116;center;중앙;6
Lv4;119;chance;기회;6
Lv4;120;change;바꾸다;6
Lv4;122;cheese;치즈;6
Lv4;126;church;교회;6
Lv4;127;circle;원;6
Lv4;139;coffee;커피;6
Lv4;148;corner;모퉁이;6
Lv4;151;course;과정;6
Lv4;152;cousin;사촌;6
Lv4;155;crayon;크레용;6
Lv4;164;danger;위험한;6
Lv4;177;dinner;저녁;6
Lv4;181;doctor;의사;6
Lv4;184;dollar;달러;6
Lv4;206;engine;엔진;6
Lv4;208;enough;충분한;6
Lv4;209;eraser;지우개;6
Lv4;214;excite;흥분시키다;6
Lv4;215;excuse;용서하다;6
Lv4;222;family;가족;6
Lv4;227;famous;유명한;6
Lv4;228;father;아버지;6
Lv4;237;finger;손가락;6
Lv4;238;finish;끝내다;6
Lv4;244;flower;꽃;6
Lv4;246;follow;뒤를따르다;6
Lv4;251;forget;잊다;6
Lv4;255;friend;친구;6
Lv4;262;garden;정원;6
Lv4;265;gentle;온화한;6
Lv4;282;ground;땅/기초;6
Lv4;285;guitar;기타(악기);6
Lv4;291;handle;손잡이;6
Lv4;292;happen;발생하다;6
Lv4;310;hiking;하이킹/도보여행;6
Lv4;327;hungry;배고픈;6
Lv4;340;island;섬;6
Lv4;346;jungle;밀림지대;6
Lv4;374;lesson;학과;6
Lv4;376;letter;편지;6
Lv4;385;listen;듣다;6
Lv4;386;little;작은;6
Lv4;405;market;상점;6
Lv4;407;matter;문제;6
Lv4;414;middle;한가운데;6
Lv4;417;minute;분/순간;6
Lv4;418;mirror;거울;6
Lv4;423;monkey;원숭이;6
Lv4;427;mother;어머니;6
Lv4;438;narrow;좁은;6
Lv4;455;number;숫자;6
Lv4;460;office;사무실;6
Lv4;471;orange;오렌지;6
Lv4;480;pardon;용서하다;6
Lv4;481;parent;부모;6
Lv4;489;pencil;연필;6
Lv4;490;people;사람;6
Lv4;493;picnic;소풍;6
Lv4;507;please;기쁘게하다/제발;6
Lv4;508;pocket;주머니;6
Lv4;510;police;경찰;6
Lv4;514;poster;포스터;6
Lv4;515;potato;감자;6
Lv4;518;pretty;예쁜;6
Lv4;534;record;기록하다;6
Lv4;537;repeat;반복하다;6
Lv4;540;return;되돌아가다;6
Lv4;541;ribbon;리본;6
Lv4;551;rocket;로켓;6
Lv4;566;school;학교;6
Lv4;569;season;계절;6
Lv4;590;shower;소나기/샤워;6
Lv4;595;silver;은;6
Lv4;598;sister;자매;6
Lv4;614;soccer;축구;6
Lv4;632;spring;봄/용수철;6
Lv4;633;square;정사각형;6
Lv4;634;stairs;계단/사닥다리;6
Lv4;653;street;거리;6
Lv4;654;strike;치다;6
Lv4;655;strong;강한;6
Lv4;658;stupid;어리석은;6
Lv4;659;subway;지하철;6
Lv4;661;summer;여름;6
Lv4;664;supper;저녁식사;6
Lv4;671;switch;스위치;6
Lv4;685;temple;절;6
Lv4;686;tennis;테니스;6
Lv4;704;ticket;표;6
Lv4;713;tomato;토마토;6
Lv4;723;travel;여행하다;6
Lv4;746;violin;바이올린;6
Lv4;779;window;창문;6
Lv4;781;winter;겨울;6
Lv4;784;wonder;놀라다;6
Lv4;793;yellow;노랑색;6
Lv4;5;address;주소;7
Lv4;13;airport;공항;7
Lv4;40;balloon;풍선;7
Lv4;51;because;~때문에;7
Lv4;61;between;~사이에;7
Lv4;62;bicycle;자전거;7
Lv4;83;brother;형제;7
Lv4;105;capital;수도/대문자;7
Lv4;106;captain;우두머리;7
Lv4;115;ceiling;천장;7
Lv4;123;chicken;닭;7
Lv4;135;clothes;옷;7
Lv4;150;country;지역;7
Lv4;160;curtain;커튼;7
Lv4;185;dolphin;돌고래;7
Lv4;210;evening;저녁;7
Lv4;212;example;예/보기;7
Lv4;315;holiday;휴일;7
Lv4;326;hundred;백(100);7
Lv4;355;kitchen;부엌;7
Lv4;377;library;도서관;7
Lv4;416;million;100만;7
Lv4;426;morning;아침;7
Lv4;457;o'clock;~시 정각;7
Lv4;494;picture;그림;7
Lv4;517;present;현재/선물;7
Lv4;520;problem;문제;7
Lv4;530;rainbow;무지개;7
Lv4;574;service;봉사하다;7
Lv4;639;station;정거장;7
Lv4;651;strange;이상한/낯선;7
Lv4;656;student;학생;7
Lv4;667;sweater;스웨터;7
Lv4;699;thirsty;목마른/갈망;7
Lv4;702;through;통해서;7
Lv4;715;tonight;오늘밤;7
Lv4;744;village;마을;7
Lv4;762;weather;날씨;7
Lv4;764;welcome;환영하다;7
Lv4;65;birthday;생일;8
Lv4;96;calendar;달력;8
Lv4;112;cassette;카셋트;8
Lv4;144;computer;컴퓨터;8
Lv4;167;daughter;딸;8
Lv4;216;exercise;연습;8
Lv4;320;hospital;병원;8
Lv4;337;interest;흥미;8
Lv4;428;mountain;산;8
Lv4;516;practice;연습/습관;8
Lv4;525;question;질문;8
Lv4;536;remember;기억하다;8
Lv4;587;shoulder;어깨;8
Lv4;650;straight;곧은;8
Lv4;666;surprise;놀라운;8
Lv4;701;thousand;천(1000);8
Lv4;712;together;함께;8
Lv4;714;tomorrow;내일;8
Lv4;732;umbrella;우산;8
Lv4;740;vacation;휴가;8
Lv4;8;afternoon;오후;9
Lv4;24;apartment;아파트;9
Lv4;50;beautiful;아름다움;9
Lv4;79;breakfast;아침;9
Lv4;125;chopstick;젓가락;9
Lv4;130;classmate;동급생;9
Lv4;213;excellent;뛰어난;9
Lv4;289;hamburger;햄버거;9
Lv4;339;introduce;소개하다;9
Lv4;682;telephone;전화기;9
Lv4;741;vegetable;야채;9
Lv4;795;yesterday;어제;9
Lv4;175;dictionary;사전;10
Lv4;539;restaurant;식당;10
Lv4;652;strawberry;딸기;10
Lv4;683;television;텔레비전;10
Lv4;735;understand;이해하다;10
Lv4;276;grandmother;할머니;11
Lv4;663;supermarket;슈퍼마켓;11
